   JobName  AllocCPUS AllocNodes        NodeList     AveCPU AveCPUFreq    AveDiskRead   AveDiskWrite   AvePages     AveRSS  AveVMSize        Comment         Constraints ConsumedEnergy ConsumedEnergyRaw    CPUTime CPUTimeRAW    Elapsed ElapsedRaw ExitCode               Flags  MaxDiskRead MaxDiskWrite MaxPages     MaxRSS  MaxVMSize     McsLabel     MinCPU      NCPUS   NNodes        QOS QOSRAW ReqCPUFreq ReqCPUFreqMax ReqCPUFreqMin  ReqCPUS     ReqMem ReqNodes               Start                 End      State              Submit           SubmitLine  Suspended   SystemComment   TotalCPU    UserCPU 
---------- ---------- ---------- --------------- ---------- ---------- -------------- -------------- ---------- ---------- ---------- -------------- ------------------- -------------- ----------------- ---------- ---------- ---------- ---------- -------- ------------------- ------------ ------------ -------- ---------- ---------- ------------ ---------- ---------- -------- ---------- ------ ---------- ------------- ------------- -------- ---------- -------- ------------------- ------------------- ---------- ------------------- -------------------- ---------- --------------- ---------- ---------- 
     mm.sh          1          1        node2420                                                                                                                   intel             75                75   00:00:00          0   00:00:00          0      0:0 SchedMain,StartRec+                                                                                           1        1     normal      1    Unknown       Unknown       Unknown        1        64G        1 2024-05-05T22:26:42 2024-05-05T22:26:42  COMPLETED 2024-05-05T22:26:15         sbatch mm.sh   00:00:00                  00:00.040  00:00.036 
     batch          1          1        node2420   00:00:00      3.30M              0          0.00M         18      1932K      3812K                                                41                41   00:00:00          0   00:00:00          0      0:0                                0        0.00M       18      1932K      3812K                00:00:00          1        1                            0             0             0        1                   1 2024-05-05T22:26:42 2024-05-05T22:26:42  COMPLETED 2024-05-05T22:26:42                        00:00:00                  00:00.039  00:00.036 
    extern          1          1        node2420   00:00:00      3.30M          0.01M          0.00M          0       200K       200K                                                75                75   00:00:00          0   00:00:00          0      0:0                            0.01M        0.00M        0       200K       200K                00:00:00          1        1                            0             0             0        1                   1 2024-05-05T22:26:42 2024-05-05T22:26:42  COMPLETED 2024-05-05T22:26:42                        00:00:00                   00:00:00   00:00:00 
