   JobName  AllocCPUS AllocNodes        NodeList     AveCPU AveCPUFreq    AveDiskRead   AveDiskWrite   AvePages     AveRSS  AveVMSize        Comment         Constraints ConsumedEnergy ConsumedEnergyRaw    CPUTime CPUTimeRAW    Elapsed ElapsedRaw ExitCode               Flags  MaxDiskRead MaxDiskWrite MaxPages     MaxRSS  MaxVMSize     McsLabel     MinCPU      NCPUS   NNodes        QOS QOSRAW ReqCPUFreq ReqCPUFreqMax ReqCPUFreqMin  ReqCPUS     ReqMem ReqNodes               Start                 End      State              Submit           SubmitLine  Suspended   SystemComment   TotalCPU    UserCPU 
---------- ---------- ---------- --------------- ---------- ---------- -------------- -------------- ---------- ---------- ---------- -------------- ------------------- -------------- ----------------- ---------- ---------- ---------- ---------- -------- ------------------- ------------ ------------ -------- ---------- ---------- ------------ ---------- ---------- -------- ---------- ------ ---------- ------------- ------------- -------- ---------- -------- ------------------- ------------------- ---------- ------------------- -------------------- ---------- --------------- ---------- ---------- 
map_compu+          1          1        node2418                                                                                                                   intel             69                69   00:00:00          0   00:00:00          0      0:0 SchedMain,StartRec+                                                                                           1        1     normal      1    Unknown       Unknown       Unknown        1        64G        1 2024-05-06T15:43:31 2024-05-06T15:43:31  COMPLETED 2024-05-06T15:43:15 sbatch map_compute.+   00:00:00                  00:00.006   00:00:00 
     batch          1          1        node2418   00:00:00      3.30M              0          0.00M          8      1720K      2528K                                                35                35   00:00:00          0   00:00:00          0      0:0                                0        0.00M        8      1720K      2528K                00:00:00          1        1                            0             0             0        1                   1 2024-05-06T15:43:31 2024-05-06T15:43:31  COMPLETED 2024-05-06T15:43:31                        00:00:00                  00:00.006   00:00:00 
    extern          1          1        node2418   00:00:00      3.30M          0.01M          0.00M          0       196K       196K                                                69                69   00:00:00          0   00:00:00          0      0:0                            0.01M        0.00M        0       196K       196K                00:00:00          1        1                            0             0             0        1                   1 2024-05-06T15:43:31 2024-05-06T15:43:31  COMPLETED 2024-05-06T15:43:31                        00:00:00                   00:00:00   00:00:00 
