   JobName  AllocCPUS AllocNodes        NodeList     AveCPU AveCPUFreq    AveDiskRead   AveDiskWrite   AvePages     AveRSS  AveVMSize        Comment         Constraints ConsumedEnergy ConsumedEnergyRaw    CPUTime CPUTimeRAW    Elapsed ElapsedRaw ExitCode               Flags  MaxDiskRead MaxDiskWrite MaxPages     MaxRSS  MaxVMSize     McsLabel     MinCPU      NCPUS   NNodes        QOS QOSRAW ReqCPUFreq ReqCPUFreqMax ReqCPUFreqMin  ReqCPUS     ReqMem ReqNodes               Start                 End      State              Submit           SubmitLine  Suspended   SystemComment   TotalCPU    UserCPU 
---------- ---------- ---------- --------------- ---------- ---------- -------------- -------------- ---------- ---------- ---------- -------------- ------------------- -------------- ----------------- ---------- ---------- ---------- ---------- -------- ------------------- ------------ ------------ -------- ---------- ---------- ------------ ---------- ---------- -------- ---------- ------ ---------- ------------- ------------- -------- ---------- -------- ------------------- ------------------- ---------- ------------------- -------------------- ---------- --------------- ---------- ---------- 
     tc.sh          1          1        node2417                                                                                                                   intel            117               117   00:00:00          0   00:00:00          0      0:0 SchedMain,StartRec+                                                                                           1        1     normal      1    Unknown       Unknown       Unknown        1        64G        1 2024-05-05T22:11:42 2024-05-05T22:11:42  COMPLETED 2024-05-05T22:11:10         sbatch tc.sh   00:00:00                  00:00.157  00:00.153 
     batch          1          1        node2417   00:00:00      3.30M              0          0.00M         19      2168K      4312K                                                84                84   00:00:00          0   00:00:00          0      0:0                                0        0.00M       19      2168K      4312K                00:00:00          1        1                            0             0             0        1                   1 2024-05-05T22:11:42 2024-05-05T22:11:42  COMPLETED 2024-05-05T22:11:42                        00:00:00                  00:00.156  00:00.153 
    extern          1          1        node2417   00:00:00      3.30M          0.01M          0.00M          0       204K       204K                                               117               117   00:00:00          0   00:00:00          0      0:0                            0.01M        0.00M        0       204K       204K                00:00:00          1        1                            0             0             0        1                   1 2024-05-05T22:11:42 2024-05-05T22:11:42  COMPLETED 2024-05-05T22:11:42                        00:00:00                   00:00:00   00:00:00 
