   JobName  AllocCPUS AllocNodes        NodeList     AveCPU AveCPUFreq    AveDiskRead   AveDiskWrite   AvePages     AveRSS  AveVMSize        Comment         Constraints ConsumedEnergy ConsumedEnergyRaw    CPUTime CPUTimeRAW    Elapsed ElapsedRaw ExitCode               Flags  MaxDiskRead MaxDiskWrite MaxPages     MaxRSS  MaxVMSize     McsLabel     MinCPU      NCPUS   NNodes        QOS QOSRAW ReqCPUFreq ReqCPUFreqMax ReqCPUFreqMin  ReqCPUS     ReqMem ReqNodes               Start                 End      State              Submit           SubmitLine  Suspended   SystemComment   TotalCPU    UserCPU 
---------- ---------- ---------- --------------- ---------- ---------- -------------- -------------- ---------- ---------- ---------- -------------- ------------------- -------------- ----------------- ---------- ---------- ---------- ---------- -------- ------------------- ------------ ------------ -------- ---------- ---------- ------------ ---------- ---------- -------- ---------- ------ ---------- ------------- ------------- -------- ---------- -------- ------------------- ------------------- ---------- ------------------- -------------------- ---------- --------------- ---------- ---------- 
wordcount+          4          1        node2417                                                                                                                   intel            594               594   00:00:08          8   00:00:02          2      0:0 SchedMain,StartRec+                                                                                           4        1     normal      1    Unknown       Unknown       Unknown        4        64G        1 2024-05-06T15:58:31 2024-05-06T15:58:33  COMPLETED 2024-05-06T15:57:58 sbatch wordcount_4_+   00:00:00                  00:03.012  00:02.877 
     batch          4          1        node2417   00:00:03      2.60M              0          0.00M          0       164K       168K                                               552               552   00:00:08          8   00:00:02          2      0:0                                0        0.00M        0       164K       168K                00:00:03          4        1                            0             0             0        4                   1 2024-05-06T15:58:31 2024-05-06T15:58:33  COMPLETED 2024-05-06T15:58:31                        00:00:00                  00:03.012  00:02.876 
    extern          4          1        node2417   00:00:00      2.60M          0.01M          0.00M          0       256K       256K                                               594               594   00:00:08          8   00:00:02          2      0:0                            0.01M        0.00M        0       256K       256K                00:00:00          4        1                            0             0             0        4                   1 2024-05-06T15:58:31 2024-05-06T15:58:33  COMPLETED 2024-05-06T15:58:31                        00:00:00                   00:00:00   00:00:00 
