   JobName  AllocCPUS AllocNodes        NodeList     AveCPU AveCPUFreq    AveDiskRead   AveDiskWrite   AvePages     AveRSS  AveVMSize        Comment         Constraints ConsumedEnergy ConsumedEnergyRaw    CPUTime CPUTimeRAW    Elapsed ElapsedRaw ExitCode               Flags  MaxDiskRead MaxDiskWrite MaxPages     MaxRSS  MaxVMSize     McsLabel     MinCPU      NCPUS   NNodes        QOS QOSRAW ReqCPUFreq ReqCPUFreqMax ReqCPUFreqMin  ReqCPUS     ReqMem ReqNodes               Start                 End      State              Submit           SubmitLine  Suspended   SystemComment   TotalCPU    UserCPU 
---------- ---------- ---------- --------------- ---------- ---------- -------------- -------------- ---------- ---------- ---------- -------------- ------------------- -------------- ----------------- ---------- ---------- ---------- ---------- -------- ------------------- ------------ ------------ -------- ---------- ---------- ------------ ---------- ---------- -------- ---------- ------ ---------- ------------- ------------- -------- ---------- -------- ------------------- ------------------- ---------- ------------------- -------------------- ---------- --------------- ---------- ---------- 
map_compu+          4          1        node2418                                                                                                                   intel             55                55   00:00:00          0   00:00:00          0      0:0 SchedMain,StartRec+                                                                                           4        1     normal      1    Unknown       Unknown       Unknown        4        64G        1 2024-05-06T15:56:01 2024-05-06T15:56:01  COMPLETED 2024-05-06T15:55:50 sbatch map_compute_+   00:00:00                  00:00.008  00:00.002 
     batch          4          1        node2418   00:00:00      2.60M              0          0.00M          0       308K       316K                                                23                23   00:00:00          0   00:00:00          0      0:0                                0        0.00M        0       308K       316K                00:00:00          4        1                            0             0             0        4                   1 2024-05-06T15:56:01 2024-05-06T15:56:01  COMPLETED 2024-05-06T15:56:01                        00:00:00                  00:00.007  00:00.001 
    extern          4          1        node2418   00:00:00      3.30M          0.01M          0.00M          0          0          0                                                55                55   00:00:00          0   00:00:00          0      0:0                            0.01M        0.00M        0          0          0                00:00:00          4        1                            0             0             0        4                   1 2024-05-06T15:56:01 2024-05-06T15:56:01  COMPLETED 2024-05-06T15:56:01                        00:00:00                   00:00:00   00:00:00 
