   JobName  AllocCPUS AllocNodes        NodeList     AveCPU AveCPUFreq    AveDiskRead   AveDiskWrite   AvePages     AveRSS  AveVMSize        Comment         Constraints ConsumedEnergy ConsumedEnergyRaw    CPUTime CPUTimeRAW    Elapsed ElapsedRaw ExitCode               Flags  MaxDiskRead MaxDiskWrite MaxPages     MaxRSS  MaxVMSize     McsLabel     MinCPU      NCPUS   NNodes        QOS QOSRAW ReqCPUFreq ReqCPUFreqMax ReqCPUFreqMin  ReqCPUS     ReqMem ReqNodes               Start                 End      State              Submit           SubmitLine  Suspended   SystemComment   TotalCPU    UserCPU 
---------- ---------- ---------- --------------- ---------- ---------- -------------- -------------- ---------- ---------- ---------- -------------- ------------------- -------------- ----------------- ---------- ---------- ---------- ---------- -------- ------------------- ------------ ------------ -------- ---------- ---------- ------------ ---------- ---------- -------- ---------- ------ ---------- ------------- ------------- -------- ---------- -------- ------------------- ------------------- ---------- ------------------- -------------------- ---------- --------------- ---------- ---------- 
wordcount+          1          1        node2417                                                                                                                   intel            866               866   00:00:03          3   00:00:03          3      0:0 SchedMain,StartRec+                                                                                           1        1     normal      1    Unknown       Unknown       Unknown        1        64G        1 2024-05-06T15:51:31 2024-05-06T15:51:34  COMPLETED 2024-05-06T15:51:24  sbatch wordcount.sh   00:00:00                  00:02.218  00:02.149 
     batch          1          1        node2417   00:00:02      3.30M              0          0.00M         16      8020K     15988K                                               834               834   00:00:03          3   00:00:03          3      0:0                                0        0.00M       16      8020K     15988K                00:00:02          1        1                            0             0             0        1                   1 2024-05-06T15:51:31 2024-05-06T15:51:34  COMPLETED 2024-05-06T15:51:31                        00:00:00                  00:02.217  00:02.149 
    extern          1          1        node2417   00:00:00      3.30M          0.01M          0.00M          0       196K       196K                                               866               866   00:00:03          3   00:00:03          3      0:0                            0.01M        0.00M        0       196K       196K                00:00:00          1        1                            0             0             0        1                   1 2024-05-06T15:51:31 2024-05-06T15:51:34  COMPLETED 2024-05-06T15:51:31                        00:00:00                   00:00:00   00:00:00 
