   JobName  AllocCPUS AllocNodes        NodeList     AveCPU AveCPUFreq    AveDiskRead   AveDiskWrite   AvePages     AveRSS  AveVMSize        Comment         Constraints ConsumedEnergy ConsumedEnergyRaw    CPUTime CPUTimeRAW    Elapsed ElapsedRaw ExitCode               Flags  MaxDiskRead MaxDiskWrite MaxPages     MaxRSS  MaxVMSize     McsLabel     MinCPU      NCPUS   NNodes        QOS QOSRAW ReqCPUFreq ReqCPUFreqMax ReqCPUFreqMin  ReqCPUS     ReqMem ReqNodes               Start                 End      State              Submit           SubmitLine  Suspended   SystemComment   TotalCPU    UserCPU 
---------- ---------- ---------- --------------- ---------- ---------- -------------- -------------- ---------- ---------- ---------- -------------- ------------------- -------------- ----------------- ---------- ---------- ---------- ---------- -------- ------------------- ------------ ------------ -------- ---------- ---------- ------------ ---------- ---------- -------- ---------- ------ ---------- ------------- ------------- -------- ---------- -------- ------------------- ------------------- ---------- ------------------- -------------------- ---------- --------------- ---------- ---------- 
mm_4_core+          4          1        node2420                                                                                                                   intel             55                55   00:00:00          0   00:00:00          0      0:0 SchedMain,StartRec+                                                                                           4        1     normal      1    Unknown       Unknown       Unknown        4        64G        1 2024-05-05T22:33:12 2024-05-05T22:33:12  COMPLETED 2024-05-05T22:32:48  sbatch mm_4_core.sh   00:00:00                  00:00.041  00:00.038 
     batch          4          1        node2420   00:00:00      2.60M              0          0.00M          0       100K       104K                                                24                24   00:00:00          0   00:00:00          0      0:0                                0        0.00M        0       100K       104K                00:00:00          4        1                            0             0             0        4                   1 2024-05-05T22:33:12 2024-05-05T22:33:12  COMPLETED 2024-05-05T22:33:12                        00:00:00                  00:00.040  00:00.037 
    extern          4          1        node2420   00:00:00      3.30M          0.01M          0.00M          0       256K       256K                                                55                55   00:00:00          0   00:00:00          0      0:0                            0.01M        0.00M        0       256K       256K                00:00:00          4        1                            0             0             0        4                   1 2024-05-05T22:33:12 2024-05-05T22:33:12  COMPLETED 2024-05-05T22:33:12                        00:00:00                   00:00:00   00:00:00 
