   JobName  AllocCPUS AllocNodes        NodeList     AveCPU AveCPUFreq    AveDiskRead   AveDiskWrite   AvePages     AveRSS  AveVMSize        Comment         Constraints ConsumedEnergy ConsumedEnergyRaw    CPUTime CPUTimeRAW    Elapsed ElapsedRaw ExitCode               Flags  MaxDiskRead MaxDiskWrite MaxPages     MaxRSS  MaxVMSize     McsLabel     MinCPU      NCPUS   NNodes        QOS QOSRAW ReqCPUFreq ReqCPUFreqMax ReqCPUFreqMin  ReqCPUS     ReqMem ReqNodes               Start                 End      State              Submit           SubmitLine  Suspended   SystemComment   TotalCPU    UserCPU 
---------- ---------- ---------- --------------- ---------- ---------- -------------- -------------- ---------- ---------- ---------- -------------- ------------------- -------------- ----------------- ---------- ---------- ---------- ---------- -------- ------------------- ------------ ------------ -------- ---------- ---------- ------------ ---------- ---------- -------- ---------- ------ ---------- ------------- ------------- -------- ---------- -------- ------------------- ------------------- ---------- ------------------- -------------------- ---------- --------------- ---------- ---------- 
    bfs.sh          1          1        node2418                                                                                                                   intel             73                73   00:00:00          0   00:00:00          0      0:0 SchedMain,StartRec+                                                                                           1        1     normal      1    Unknown       Unknown       Unknown        1        64G        1 2024-05-05T22:02:12 2024-05-05T22:02:12  COMPLETED 2024-05-05T22:01:44        sbatch bfs.sh   00:00:00                  00:00.035  00:00.030 
     batch          1          1        node2418   00:00:00      3.30M              0          0.00M         21      2068K      4112K                                                41                41   00:00:00          0   00:00:00          0      0:0                                0        0.00M       21      2068K      4112K                00:00:00          1        1                            0             0             0        1                   1 2024-05-05T22:02:12 2024-05-05T22:02:12  COMPLETED 2024-05-05T22:02:12                        00:00:00                  00:00.035  00:00.029 
    extern          1          1        node2418   00:00:00      3.30M          0.01M          0.00M          0       200K       200K                                                73                73   00:00:00          0   00:00:00          0      0:0                            0.01M        0.00M        0       200K       200K                00:00:00          1        1                            0             0             0        1                   1 2024-05-05T22:02:12 2024-05-05T22:02:12  COMPLETED 2024-05-05T22:02:12                        00:00:00                   00:00:00   00:00:00 
