   JobName  AllocCPUS AllocNodes        NodeList     AveCPU AveCPUFreq    AveDiskRead   AveDiskWrite   AvePages     AveRSS  AveVMSize        Comment         Constraints ConsumedEnergy ConsumedEnergyRaw    CPUTime CPUTimeRAW    Elapsed ElapsedRaw ExitCode               Flags  MaxDiskRead MaxDiskWrite MaxPages     MaxRSS  MaxVMSize     McsLabel     MinCPU      NCPUS   NNodes        QOS QOSRAW ReqCPUFreq ReqCPUFreqMax ReqCPUFreqMin  ReqCPUS     ReqMem ReqNodes               Start                 End      State              Submit           SubmitLine  Suspended   SystemComment   TotalCPU    UserCPU 
---------- ---------- ---------- --------------- ---------- ---------- -------------- -------------- ---------- ---------- ---------- -------------- ------------------- -------------- ----------------- ---------- ---------- ---------- ---------- -------- ------------------- ------------ ------------ -------- ---------- ---------- ------------ ---------- ---------- -------- ---------- ------ ---------- ------------- ------------- -------- ---------- -------- ------------------- ------------------- ---------- ------------------- -------------------- ---------- --------------- ---------- ---------- 
lu_4_core+          4          1        node2419                                                                                                                   intel             54                54   00:00:00          0   00:00:00          0      0:0 SchedMain,StartRec+                                                                                           4        1     normal      1    Unknown       Unknown       Unknown        4        64G        1 2024-05-05T22:24:12 2024-05-05T22:24:12  COMPLETED 2024-05-05T22:23:59  sbatch lu_4_core.sh   00:00:00                  00:00.021  00:00.019 
     batch          4          1        node2419   00:00:00      2.60M              0          0.00M          0        32K        36K                                                22                22   00:00:00          0   00:00:00          0      0:0                                0        0.00M        0        32K        36K                00:00:00          4        1                            0             0             0        4                   1 2024-05-05T22:24:12 2024-05-05T22:24:12  COMPLETED 2024-05-05T22:24:12                        00:00:00                  00:00.020  00:00.019 
    extern          4          1        node2419   00:00:00      3.30M          0.01M          0.00M          0       256K       256K                                                54                54   00:00:00          0   00:00:00          0      0:0                            0.01M        0.00M        0       256K       256K                00:00:00          4        1                            0             0             0        4                   1 2024-05-05T22:24:12 2024-05-05T22:24:12  COMPLETED 2024-05-05T22:24:12                        00:00:00                   00:00:00   00:00:00 
